timestamp,price_open,price_high,price_low,price_close,price_volume,volume_obv,volume_obv_sma_20,volume_obv_sma_50,volume_obv_trend,return,volatility,momentum,return_ts_neutral,volatility_ts_neutral,momentum_ts_neutral
2009-02-10,101.17,102.51,97.06,97.83,30323600,61025702610.0,58227949332.75,59605391779.96,Down,-0.04565408252853387,0.03233392224997138,0.10342882923528096,-1.2446541434774065,0.5275171443337584,0.5430690973813189
2009-02-11,96.35,98.31,95.77,96.82,24106200,60350728336.0,58287891652.8,59650736257.38,Down,-0.01032403148318517,0.03232376381416115,0.10386500969102719,-0.4422017668957329,0.43675397195923865,0.5694208367334794
2009-02-12,95.83,99.75,95.83,99.27,29185300,61167917553.0,58439776684.75,59730899889.6,Up,0.025304689113819556,0.031661874573176194,0.1633657564748623,0.2894850092214412,0.008201845185257874,1.3508378617723582
2009-02-13,99.11,99.94,98.12,99.16,21749200,60558939345.0,58652794597.85,59775909486.7,Down,-0.0011080890500654306,0.030908594622262406,0.1892540177500599,-0.36394643967861456,-0.3665381732522921,1.5806831894353315
2009-02-17,96.79,97.04,94.28,94.53,24222800,59880700267.0,58884281889.4,59780580675.48,Down,-0.046692214602662374,0.033038510013378874,0.14818413700959554,-1.5121715065017167,0.5265288739934035,1.063162985548806
2009-02-18,95.03,95.85,92.72,94.37,24456400,59195920383.0,59127525972.7,59793383688.4,Down,-0.0016925843647519478,0.030249843406465086,0.20677749360613817,-0.46044746277747733,-0.87762755619142,1.6911292908491418
2009-02-19,93.37,94.25,90.11,90.64,32957300,58273115061.0,59270166235.45,59766854670.02,Down,-0.03952527286213847,0.02982859611370383,0.09428950863213825,-1.3189489721746779,-1.0368571561160242,0.2801943645198688
2009-02-20,89.4,92.4,89.0,91.2,26797000,59023431811.0,59379845845.25,59731629122.94,Up,0.0061782877316858276,0.026057375216544006,0.03214124038026256,0.0008179900723733021,-2.460175037148423,-0.7168537630718961
2009-02-23,91.6,92.0,86.51,86.95,28106500,58236449025.0,59450176315.75,59656593976.08,Down,-0.04660087719298245,0.028229942136661395,-0.015957446808510634,-1.4800902352300032,-1.350985102302872,-1.4898835895141518
2009-02-24,87.4475,90.89,87.0,90.25,28825200,59043555432.0,59526250152.0,59616461928.12,Up,0.037952846463484624,0.029347727299896636,0.006804997768853127,0.7353570590222979,-0.7281727255263651,-0.8264566053049665
2009-02-25,89.86,92.92,89.25,91.16,29751900,59876609465.0,59613074739.0,59613803325.62,Up,0.010083102493074758,0.029308888638002215,0.004739336492890933,0.09085510538919714,-0.6636204448365015,-0.7001459780266394
