Date,stock_return,market_return,excess_return,volatility,market_volatility,regression_neutral,rolling_beta,rolling_alpha,stock_return_zscore,market_return_zscore,residual_neutral,combined_neutral
2016-12-30,-0.007795768011650939,0.0016415460379046731,-0.009437314049555612,0.0071574567912325625,0.009554286045646614,-0.010687266085040632,0.3206296122922049,0.0023651698036965133,-1.4857451981171015,-0.11911408001133758,-1.366631118105764,-0.6886591920954023
2017-01-03,0.002849248834398299,-0.006555423122765136,0.009404671957163435,0.0071542895433556455,0.009757106660432509,0.002276876650507347,0.2831932034524373,0.0024288234580129913,0.007775622770968094,-0.8965372852021657,0.9043129079731338,0.4532948923118206
2017-01-04,-0.001119242359018613,0.015596880623875098,-0.01671612298289371,0.006829973884162769,0.009775387386827558,-0.008011507882185777,0.2702205900961693,0.0026776672373241264,-0.6173255919719666,1.3699623874038802,-1.987287979375847,-0.9976497436290164
2017-01-05,0.0050853301154973884,-0.0011813349084465186,0.006266665023943907,0.006761965968913991,0.008092233173849354,0.002729082793805655,0.2694954178326001,0.0026746116664437642,0.3133587101853086,-0.2530273648043827,0.5663860749896913,0.2845575788917485
2017-01-06,0.011148272017837302,0.012123004139562354,-0.0009747321217250526,0.006838769181911254,0.007708989761694859,0.00385886302919249,0.333056870408717,0.003251759169970253,1.1867020735439389,1.4878648468423,-0.30116277329836105,-0.1486519551345843
2017-01-09,0.009159528453905441,-0.010078878177037676,0.019238406630943117,0.00680593362781141,0.008057805481489266,0.009762379411910497,0.39770753406648884,0.003405594827941147,0.9050514221065845,-1.2546440675955495,2.159695489702134,1.0847289345570224
2017-01-10,0.0010084881082443875,-0.008410801239486343,0.00941928934773073,0.006047439638158437,0.0076996390354291105,0.000303557616022309,0.27338062178639966,0.003004280564794676,-0.2026733646171843,-0.960296926465235,0.7576235618480507,0.3789635597320365
2017-01-11,0.005373184451347601,0.007738095238095211,-0.0023649107867476094,0.005783638038439505,0.007912215627267313,0.0020808893796031127,0.13322398946372394,0.0022613951532752,0.4469797992080638,1.0732673383497788,-0.6262875391417151,-0.31210332488105597
2017-01-12,-0.0041753653444676075,-0.004725339633786074,0.0005499742893184667,0.00496976061310238,0.007749374005848199,-0.006367925343064782,0.21999329238369728,0.0032321030222649478,-1.1913135816021792,-0.4379225805176879,-0.7533910010844913,-0.379879463213778
2017-01-13,-0.001761006289308087,0.004599406528189798,-0.006360412817497885,0.005017676728271815,0.007204807121128795,-0.004459582118355687,0.1422021722116658,0.002044530229854495,-0.6812184465404539,0.6910986619306672,-1.3723171084711212,-0.6883883452947385
