Timestamp,obv
2005-04-15,46234104028.5
2005-04-18,46162258756.5
2005-04-19,44274649467.0
2005-04-20,43329516922.0
2005-04-21,44089110081.0
2005-04-22,43249980042.0
2005-04-25,43996441188.0
2005-04-26,43185932778.0
2005-04-27,42572043365.0
2005-04-28,41996936790.0
2005-04-29,42668567861.0
2005-05-02,43134488326.0
2005-05-03,42637748230.0
2005-05-04,43085925078.0
2005-05-05,42698558691.0
2005-05-06,43024806617.0
2005-05-09,42669111062.0
2005-05-10,42228847022.0
2005-05-11,43055365847.5
2005-05-12,42861682654.0
2005-05-13,42861682654.0
2005-05-16,42683834876.5
2005-05-17,39805284999.0
2005-05-18,40442008435.0
2005-05-19,41235170828.0
2005-05-20,41235170828.0
2005-05-23,42277746270.0
2005-05-24,41684285677.0
2005-05-25,42080292873.0
2005-05-26,42605814198.0
2005-05-27,42289805882.0
2005-05-31,41885600278.0
2005-06-01,42339413531.0
2005-06-02,41965439558.0
2005-06-03,41008569402.0
2005-06-06,40196602191.0
2005-06-07,39451336646.0
2005-06-08,39855343450.0
2005-06-09,40245599440.0
2005-06-10,39566665962.0
2005-06-13,40002438797.0
2005-06-14,40350285944.0
2005-06-15,40913629707.0
2005-06-16,41461304654.0
2005-06-17,42057430850.0
2005-06-20,41733714127.0
2005-06-21,42104241297.0
2005-06-22,42529166921.0
2005-06-23,43203421595.0
2005-06-24,42792711585.0
2005-06-27,42192539385.0
2005-06-28,42542839335.0
2005-06-29,42094480487.0
2005-06-30,42512870905.0
2005-07-01,42262869855.0
2005-07-05,42717139509.0
2005-07-06,42322512715.0
2005-07-07,42706236298.0
2005-07-08,42996971788.0
2005-07-11,42608183000.0
2005-07-12,42995221787.0
2005-07-13,43680057671.0
2005-07-14,42536003128.0
2005-07-15,42575511167.5
2005-07-18,42657209649.0
2005-07-19,42711687903.5
2005-07-20,42754925547.0
2005-07-21,46597699788.0
2005-07-22,46898806489.0
2005-07-25,46604178995.0
2005-07-26,46335585927.0
2005-07-27,46619335410.0
2005-07-28,46368023959.0
2005-07-29,45805942997.0
2005-08-01,46120192911.0
2005-08-02,46417068807.0
2005-08-03,46675391465.0
2005-08-04,46406087196.0
2005-08-05,46648018637.0
2005-08-08,46471635261.0
2005-08-09,46852474841.0
2005-08-10,46491529281.0
2005-08-11,46763513152.0
2005-08-12,46573133963.5
2005-08-15,46600939391.5
2005-08-16,46611757202.5
2005-08-17,46611757202.5
2005-08-18,46633677023.5
2005-08-19,47909251898.0
2005-08-22,48296985085.0
2005-08-23,48001380390.0
2005-08-24,48573451762.0
2005-08-25,48849705638.0
2005-08-26,48588647377.0
2005-08-29,48844942833.0
2005-08-30,49363704951.0
2005-08-31,49766661753.0
2005-09-01,49410294197.0
2005-09-02,49187915175.0
2005-09-06,50006535193.0
2005-09-07,49043460230.0
2005-09-08,49746101332.0
2005-09-09,50361743547.0
2005-09-12,50814540399.0
2005-09-13,50321655907.0
2005-09-14,49847229033.0
2005-09-15,50262385448.0
2005-09-16,50853390439.0
2005-09-19,51637122422.0
2005-09-20,49756381542.5
2005-09-21,52022204007.0
2005-09-22,51558475944.0
2005-09-23,52116933702.0
2005-09-26,52663497048.0
2005-09-27,52321793107.0
2005-09-28,51196247982.0
2005-09-29,51833094618.0
2005-09-30,52364728349.0
2005-10-03,52872282056.0
2005-10-04,52332822317.0
2005-10-05,51722052107.0
2005-10-06,50964514150.0
2005-10-07,50286630673.0
2005-10-10,49779124566.0
2005-10-11,51005010591.0
2005-10-12,51679587264.5
2005-10-13,50173098959.0
2005-10-14,51208651994.0
2005-10-17,50591816978.0
2005-10-18,49982228369.0
2005-10-19,50990912577.0
2005-10-20,52348675934.0
2005-10-21,51551949138.0
2005-10-24,52161702947.0
2005-10-25,51696574882.0
2005-10-26,52328168713.0
2005-10-27,51916627102.0
2005-10-28,51146839133.0
2005-10-31,52087684873.0
2005-11-01,51337998124.0
2005-11-02,52195059381.0
2005-11-03,53079443065.0
2005-11-04,52201406987.0
2005-11-07,51562575149.0
2005-11-08,51088809076.0
2005-11-09,51641739628.0
2005-11-10,52307084693.0
2005-11-11,52732533918.0
2005-11-14,52362600349.0
2005-11-15,52899442085.0
2005-11-16,52178381164.0
2005-11-17,53007751793.0
2005-11-18,53532713117.0
2005-11-21,54044424828.0
2005-11-22,54584707768.0
2005-11-23,55070561453.0
2005-11-25,55465574648.0
2005-11-28,52815988001.5
2005-11-29,55592661175.0
2005-11-30,54996985780.0
2005-12-01,55809879792.0
2005-12-02,56705642687.0
2005-12-05,56121970904.0
2005-12-06,56979001361.0
2005-12-07,56299535882.0
2005-12-08,57090015872.0
2005-12-09,57645418827.0
2005-12-12,58170413751.0
2005-12-13,58664230644.0
2005-12-14,57213512794.0
2005-12-15,57774675355.0
2005-12-16,57103503484.0
2005-12-19,57632799213.0
2005-12-20,58111907692.0
2005-12-21,58587644967.0
2005-12-22,58958256137.0
2005-12-23,58728398308.0
2005-12-27,59318988898.0
2005-12-28,58920873300.0
2005-12-29,58430847610.0
2005-12-30,59055111034.0
2006-01-03,59862346241.0
2006-01-04,60481950460.0
2006-01-05,60032527611.0
2006-01-06,60736985915.0
2006-01-09,60061944440.0
2006-01-10,62341815919.0
2006-01-11,58939564718.5
2006-01-12,59006683585.5
2006-01-13,59187049966.0
2006-01-17,59590667569.5
2006-01-18,63856466233.0
2006-01-19,62160616538.0
2006-01-20,61025856604.0
2006-01-23,62085587663.0
2006-01-24,60943332121.0
2006-01-25,59667544446.0
2006-01-26,58486156065.0
2006-01-27,57532290312.0
2006-01-30,58930692910.0
2006-01-31,59844235823.0
2006-02-01,59323048902.0
2006-02-02,58615726195.0
2006-02-03,57923601903.0
2006-02-06,56271832652.0
2006-02-07,57660664840.0
2006-02-08,58613780193.0
2006-02-09,57464015044.0
2006-02-10,59224494404.0
2006-02-13,58340995521.0
2006-02-14,59501935481.0
2006-02-15,60661707840.0
2006-02-16,61609883988.0
2006-02-17,61033884213.0
2006-02-21,60254276634.0
2006-02-22,61232516412.0
2006-02-23,62089434868.0
2006-02-24,61554690334.0
2006-02-27,60763448743.0
2006-02-28,59496467077.0
