,SMA_20
2020-10-30,0.9742806204491365
2020-11-02,0.9684584406686387
2020-11-03,0.9664100961770123
2020-11-04,0.9663112318878238
2020-11-05,0.9693698458345962
2020-11-06,0.9708203703275353
2020-11-09,0.964885423467182
2020-11-10,0.9611718336045348
2020-11-11,0.9600472523150144
2020-11-12,0.9590725122137956
2020-11-13,0.9594092686988444
2020-11-16,0.9628185419213325
2020-11-17,0.9643895572667204
2020-11-18,0.9654168190215705
2020-11-19,0.9677478535900957
2020-11-20,0.969633998857272
2020-11-23,0.9688770691431718
2020-11-24,0.9679502164320286
2020-11-25,0.9717394992660856
2020-11-27,0.9728470882559018
2020-11-30,0.980677448910543
2020-12-01,0.9913439788612823
2020-12-02,1.0010234106746545
2020-12-03,1.0072008839944238
2020-12-04,1.0097852583039946
2020-12-07,1.013602346719386
2020-12-08,1.019684045259004
2020-12-09,1.024068058582711
2020-12-10,1.0268965041062164
2020-12-11,1.0293109554187443
2020-12-14,1.0312125482311063
2020-12-15,1.03693122945886
2020-12-16,1.0432832600392277
2020-12-17,1.0513345205900249
2020-12-18,1.0573806897757154
2020-12-21,1.06559723906
2020-12-22,1.0792003473505445
2020-12-23,1.0911134941977714
2020-12-24,1.1031394081248544
2020-12-28,1.1183042632336753
2020-12-29,1.1302405813986809
2020-12-30,1.1385390026724493
2020-12-31,1.1457900803826262
2021-01-04,1.1506715046613138
2021-01-05,1.1572799644917644
2021-01-06,1.1594302627816166
2021-01-07,1.1643642087139356
2021-01-08,1.1721126973790925
2021-01-11,1.1764441890491684
2021-01-12,1.1812653679016314
2021-01-13,1.188137980754758
2021-01-14,1.1889149922775997
2021-01-15,1.1884098575500268
2021-01-19,1.1877533368796338
2021-01-20,1.1918083174908851
2021-01-21,1.1983271815592589
2021-01-22,1.2037523594284836
2021-01-25,1.2127752705714625
2021-01-26,1.221217354015458
2021-01-27,1.2252692451176725
2021-01-28,1.2269437590158043
2021-01-29,1.2256168148843514
2021-02-01,1.2267105010835002
2021-02-02,1.230919957146609
2021-02-03,1.2331305008626854
2021-02-04,1.2412713571755596
2021-02-05,1.2458314725143838
2021-02-08,1.249653195193331
2021-02-09,1.255110812907446
2021-02-10,1.2602363084000674
2021-02-11,1.263588425705369
2021-02-12,1.2686150569088022
2021-02-16,1.2733296476994835
2021-02-17,1.2757487332755673
2021-02-18,1.2741452780852893
2021-02-19,1.2690105140655565
2021-02-22,1.25929246338922
2021-02-23,1.246563686156187
2021-02-24,1.2332679840148382
2021-02-25,1.217508398416367
2021-02-26,1.20570338438544
2021-03-01,1.202700381601336
2021-03-02,1.196037855362735
2021-03-03,1.186420213730106
2021-03-04,1.1761367828999725
2021-03-05,1.1642251808072641
2021-03-08,1.148811620220953
2021-03-09,1.1368536754926875
2021-03-10,1.1247412553125646
2021-03-11,1.1145937628800653
2021-03-12,1.1039395909654746
2021-03-15,1.095341487315103
2021-03-16,1.0895826424698667
2021-03-17,1.0849885425316337
2021-03-18,1.0780525947432456
2021-03-19,1.070586796154987
2021-03-22,1.0686156893892893
2021-03-23,1.0661070080511286
2021-03-24,1.062132354674843
2021-03-25,1.0618295827892028
2021-03-26,1.061792508680757
2021-03-29,1.0569558822831082
2021-03-30,1.053012123997194
2021-03-31,1.0530800931960111
2021-04-01,1.0552489285400863
2021-04-05,1.0586334856902775
2021-04-06,1.066076112960757
2021-04-07,1.0712263245256761
2021-04-08,1.079069043216466
2021-04-09,1.0874076281077174
2021-04-12,1.0951221321734659
2021-04-13,1.1030096487452943
2021-04-14,1.1078910730239817
2021-04-15,1.1152502835504585
2021-04-16,1.1255491619257778
2021-04-19,1.1367702587486845
2021-04-20,1.1441155664844942
2021-04-21,1.15239545070404
2021-04-22,1.1613503926482016
2021-04-23,1.171724963994931
2021-04-26,1.1819327018536545
2021-04-27,1.1917557958372538
2021-04-28,1.2020917483210185
2021-04-29,1.2106527778629446
2021-04-30,1.2170449720607954
2021-05-03,1.222062334737117
2021-05-04,1.223301227861012
2021-05-05,1.2234526138038317
2021-05-06,1.2229845531847048
2021-05-07,1.2210458862638967
2021-05-10,1.2178914975369728
2021-05-11,1.2116136151734962
2021-05-12,1.2047734421652598
2021-05-13,1.1977324510696086
2021-05-14,1.1928247659641054
2021-05-17,1.1865113542467018
2021-05-18,1.1804296557070841
2021-05-19,1.1739308734474516
2021-05-20,1.170595748441855
2021-05-21,1.1640382655105168
2021-05-24,1.1584431646442492
2021-05-25,1.1529453833126517
2021-05-26,1.1480222506619626
2021-05-27,1.1419868947579022
2021-05-28,1.1369695320815805
2021-06-01,1.130886288787444
2021-06-02,1.1289383533395245
2021-06-03,1.1256511157240034
2021-06-04,1.122902997435464
2021-06-07,1.11964047589224
2021-06-08,1.119557059148237
2021-06-09,1.120480822350343
2021-06-10,1.123008040742727
2021-06-11,1.1248092245113819
2021-06-14,1.1271031849714612
2021-06-15,1.1296535746816234
2021-06-16,1.1336653021663547
2021-06-17,1.1390395031364668
2021-06-18,1.1414230593586232
2021-06-21,1.1466227030681366
2021-06-22,1.1518300705502427
2021-06-23,1.1569771926061243
2021-06-24,1.1619420336288147
2021-06-25,1.1678677119620569
2021-06-28,1.175565223728101
2021-06-29,1.1846854544057497
2021-06-30,1.193692918003543
2021-07-01,1.2040844816499767
2021-07-02,1.2147340193010119
2021-07-06,1.226934490488693
2021-07-07,1.240429465962938
2021-07-08,1.252623758132545
2021-07-09,1.2670038779459312
2021-07-12,1.2799844501654916
2021-07-13,1.291458886729444
2021-07-14,1.3062251951724737
2021-07-15,1.3200986355037685
2021-07-16,1.3311498093296321
2021-07-19,1.3402236973717239
2021-07-20,1.3507064015347534
2021-07-21,1.3593508478206822
2021-07-22,1.3692650823208767
2021-07-23,1.3807317951122364
2021-07-26,1.3927515300212454
2021-07-27,1.4018269628178552
2021-07-28,1.4083736324675633
2021-07-29,1.4149434734350501
2021-07-30,1.4214438004492007
2021-08-02,1.4256532565123095
2021-08-03,1.4296943343328936
2021-08-04,1.4314955181015485
2021-08-05,1.4343872985603152
2021-08-06,1.4353326883256814
2021-08-09,1.4367028855836546
2021-08-10,1.436838823981289
2021-08-11,1.4345139684308383
2021-08-12,1.434994387086114
2021-08-13,1.4372157440838207
2021-08-16,1.4439493290302756
2021-08-17,1.4471794107286098
2021-08-18,1.4480722788403446
2021-08-19,1.4481634193569402
2021-08-20,1.448052197031603
2021-08-23,1.4487674183737016
2021-08-24,1.4510953634331896
2021-08-25,1.453823399912988
2021-08-26,1.455428399857784
2021-08-27,1.4576729281732692
2021-08-30,1.4635986065065114
2021-08-31,1.467154631408264
2021-09-01,1.4715370999774524
2021-09-02,1.47669966957852
2021-09-03,1.482884866670882
2021-09-07,1.4909206796764936
2021-09-08,1.4981285042601504
2021-09-09,1.5043523202154767
2021-09-10,1.5044125656417013
2021-09-13,1.5047539563903056
2021-09-14,1.5024800777389677
2021-09-15,1.5016011124179
2021-09-16,1.503442459804038
2021-09-17,1.5029574068852065
2021-09-20,1.498978119245365
2021-09-21,1.4942171858191262
2021-09-22,1.4913593899597681
2021-09-23,1.4902008240708389
2021-09-24,1.4897296739426746
2021-09-27,1.487281238030738
2021-09-28,1.478785088178592
2021-09-29,1.4719619074700596
2021-09-30,1.463617143560734
2021-10-01,1.4552785586694827
2021-10-04,1.4437871298058258
2021-10-05,1.4319774815113433
2021-10-06,1.4220400756933695
2021-10-07,1.413868324290124
