Timestamp,price_close,price_volume,RSI,bbands_middle,reportedEPS,atr,volume_nasdaq,close_nasdaq,obv,CPI,GDP,SMA_50,weekday
8/9/2006,63.59,34137100,53.0513,1.8603,0.019874509,0.0754,1599800,26.78,47484177878,203.6857107,13937.62151,1.7921,Wednesday
8/10/2006,64.07,24920000,54.2493,1.8781,0.019875219,0.0745,1317800,27.01,48181938575,203.6602883,13939.48566,1.7947,Thursday
8/11/2006,63.65,27768900,52.9755,1.8977,0.019876392,0.0725,797200,26.69,47404408598,203.6328056,13941.35458,1.7956,Friday
8/14/2006,63.94,25629300,53.7825,1.9151,0.019882493,0.0708,1430600,27.11,48122029715,203.5392398,13946.98843,1.797,Monday
8/15/2006,66.45,30762600,60.1554,1.9355,0.019885325,0.0713,2572700,28.64,48983383376,203.5047599,13948.87493,1.8009,Tuesday
8/16/2006,67.98,27903000,63.4626,1.9563,0.019888523,0.0699,2429900,29.26,49764668157,203.4688415,13950.76545,1.8058,Wednesday
8/17/2006,67.59,20755300,62.0488,1.967,0.01989207,0.0681,3092500,27.06,49183519176,203.4316091,13952.65986,1.8113,Thursday
8/18/2006,67.91,19155500,62.7815,1.9778,0.019895945,0.0657,1481400,29.46,49719873712,203.393187,13954.558,1.8156,Friday
8/21/2006,66.56,18793800,57.719,1.9856,0.019909357,0.0648,1086500,28.26,49193646786,203.272026,13960.2734,1.8198,Monday
8/22/2006,67.62,20606000,60.4179,1.9941,0.019914359,0.0641,1073600,28.26,49770615362,203.2300887,13962.18504,1.8262,Tuesday
8/23/2006,67.31,19152100,59.2272,1.9993,0.019919595,0.0632,1163300,27.91,49234356026,203.1875835,13964.09968,1.8316,Wednesday
8/24/2006,67.81,23399700,60.5767,2.0059,0.019925046,0.0628,1455300,27.35,49889548281,203.1446347,13966.01718,1.8377,Thursday
8/25/2006,68.75,19427100,63.0527,2.0107,0.019930693,0.062,2256100,26.97,50433507624,203.1013668,13967.9374,1.8434,Friday
8/28/2006,66.98,26362900,55.9297,2.0092,0.019948622,0.0621,1589000,26.86,49695345686,202.9708914,13973.71289,1.8491,Monday
8/29/2006,66.48,33833300,54.0715,2.0082,0.019954863,0.0622,1403200,27,48748012339,202.9275903,13975.64251,1.8546,Tuesday
8/30/2006,66.96,24290800,55.5967,2.0064,0.019961206,0.0607,1564800,27.48,49428155419,202.8845918,13977.57411,1.8604,Wednesday
8/31/2006,67.85,20524900,58.358,2.0037,0.019967631,0.0599,2714500,28.51,50002853193,202.8420202,13979.50756,1.8664,Thursday
9/1/2006,68.38,14589100,59.9551,2.0039,0.019974118,0.0574,1147700,28.33,50411348401,202.8,13981.44269,1.8717,Friday
9/4/2006,68.38,14589100,59.9551,2.0039,0.019993769,0.0574,1147700,28.33,50411348401,202.6779783,13987.2568,1.8717,Monday
9/5/2006,71.48,36159200,67.7468,2.0103,0.020000319,0.06,1655500,27.99,51423807013,202.6387046,13989.19725,1.8793,Tuesday
9/6/2006,70.03,34789400,61.6995,2.0182,0.020006837,0.06,2297600,28.04,50449702839,202.6001483,13991.13867,1.8859,Wednesday
9/7/2006,72.8,45284200,67.6418,2.032,0.020013304,0.0631,3390800,28.8,49707609699,202.56232,13993.0809,1.8952,Thursday
9/8/2006,72.52,31997200,66.5183,2.0447,0.020019701,0.0622,2587900,29.18,50821739211,202.5252301,13995.0238,1.9051,Friday
9/11/2006,72.5,33897300,66.4334,2.0581,0.020038281,0.0627,1573500,28.25,49872613862,202.4184952,14000.85507,1.9132,Monday
9/12/2006,72.63,60167400,66.7306,2.0711,0.020044208,0.0625,1786100,28.58,51557302746,202.3844634,14002.7992,1.9225,Tuesday
9/13/2006,74.2,40933500,70.1656,2.0828,0.02004997,0.0624,2703800,29.41,49881081072,202.3512223,14004.74327,1.9323,Wednesday
9/14/2006,74.17,28633200,70.0169,2.0921,0.020055547,0.0605,1442600,28.94,51901711491,202.3187823,14006.68713,1.9426,Thursday
9/15/2006,74.1,35066200,69.6458,2.1019,0.020060922,0.0598,2241600,29.33,50919856910,202.2871538,14008.63064,1.9536,Friday
9/18/2006,73.89,25188500,68.4735,2.1109,0.020075638,0.0589,3523500,28.26,50214578205,202.1972423,14014.45762,1.9648,Monday
9/19/2006,73.77,25358900,67.7715,2.1218,0.020080011,0.0581,1720800,28.295,49504528295,202.1689646,14016.39827,1.9761,Tuesday
